Shift ID,Role,Month,Date,Day,Shift,Time_Input,Time,Rate,Tips,Total,Tip Rate,,,,,
1,Training,March,3/22/22,Tuesday,Open,1.12,67.2,9.75,0.00,10.92, $-   ,,,,,
2,Training,March,3/25/22,Friday,Close,4,240,9.75,0.00,39.00, $-   ,,,,,
3,Training,March,3/26/22,Saturday,N/A,5.83,349.8,10.50,0.00,61.22, $-   ,,,,,
4,Training,March,3/28/22,Monday,Open,4.65,279,10.50,0.00,48.83, $-   ,,,,,
5,Training,March,3/30/22,Wednesday,Open,3.11,186.6,10.50,0.00,32.66, $-   ,,,,,
6,Training,March,3/31/22,Thursday,N/A,3.25,195,10.50,0.00,34.13, $-   ,,,,,
7,Training,April,1-Apr,Friday,Close,5.86,351.6,10.50,0.00,61.53, $-   ,,,,,
8,Training,April,3-Apr,Sunday,Open,6.59,395.4,10.50,0.00,69.20, $-   ,,,,,
9,Barista,April,5-Apr,Tuesday,Mid,6.12,367.2,10.50,45.51,109.77, $7.44 ,,,,,
10,Barista,April,7-Apr,Thursday,Open,6.09,365.4,10.50,58.11,122.06, $9.54 ,,,,,
11,Barista,April,9-Apr,Saturday,Close,6.62,397.2,10.50,46.62,116.13, $7.04 ,,,,,
12,Training,April,12-Apr,Tuesday,N/A,1.75,105,10.50,0.00,18.38, $-   ,,,,,
13,Barista,April,14-Apr,Thursday,Open,6.21,372.6,10.50,58.66,123.87, $9.45 ,,,,,
14,Barista,April,16-Apr,Saturday,Close,6.77,406.2,10.50,64.74,135.83, $9.56 ,,,,,
15,Barista,April,19-Apr,Tuesday,Open,6.07,364.2,10.50,40.14,103.88, $6.61 ,,,,,
16,Barista,April,23-Apr,Saturday,Close,6.73,403.8,10.50,56.77,127.44, $8.44 ,,,,,
17,Barista,April,24-Apr,Sunday,Open,6.35,381,10.50,62.71,129.39, $9.88 ,,,,,
18,Meeting,April,26-Apr,Tuesday,N/A,0.33,19.8,10.50,0.00,3.47, $-   ,,,,,
19,Barista,April,26-Apr,Tuesday,Open,6.33,379.8,10.50,51.78,118.25, $8.18 ,,,,,
20,Barista,April,30-Apr,Saturday,Close,6.4,384,10.50,50.40,117.60, $7.88 ,,,,,
21,Barista,April,1-May,Sunday,Close,6.31,378.6,10.50,56.77,123.03, $9.00 ,,,,,
22,Barista,April,3-May,Tuesday,Close,5.95,357,10.50,29.01,91.49, $4.88 ,,,,,
23,Meeting,May,6-May,Friday,N/A,0.48,28.8,10.50,0.00,5.04, $-   ,,,,,
24,Barista,May,6-May,Friday,Close,6.39,383.4,10.50,56.00,123.10, $8.76 ,,,,,
25,Barista,May,8-May,Sunday,Mid,6.12,367.2,10.50,92.45,156.71, $15.11 ,,,,,
26,Meeting,May,9-May,Monday,N/A,0.12,7.2,10.50,0.00,1.26, $-   ,,,,,
27,Barista,May,10-May,Tuesday,Close,6.16,369.6,10.50,34.10,98.78, $5.54 ,,,,,
28,Meeting,May,24-May,Tuesday,N/A,1.27,76.2,10.50,0.00,13.34, $-   ,,,,,
29,Barista,May,24-May,Tuesday,Open,5.97,358.2,10.50,60.19,122.88, $10.08 ,,,,,
30,Barista,May,23-May,Monday,Open,6.16,369.6,10.50,63.56,128.24, $10.32 ,,,,,
31,Meeting,May,20-May,Friday,N/A,0.17,10.2,10.50,0.00,1.79, $-   ,,,,,
32,Barista,May,20-May,Friday,Open,4.8,288,10.50,60.14,110.54, $12.53 ,,,,,
33,Barista,May,17-May,Tuesday,Close,6.56,393.6,10.50,38.37,107.25, $5.85 ,,,,,
34,Barista,May,16-May,Monday,Open,5.87,352.2,10.50,53.32,114.96, $9.08 ,,,,,
35,Barista,May,15-May,Sunday,Open,5.92,355.2,10.50,67.95,130.11, $11.48 ,,,,,
36,Training,May,13-May,Friday,N/A,3.25,195,10.50,0.00,34.13, $-   ,,,,,
37,Barista ,June,10-Jun,Friday,Open,6.19,371.4,10.50,91.28,156.28, $14.75 ,,,,,
38,Barista,June,7-Jun,Tuesday,Close,6.26,375.6,10.50,27.09,92.82, $4.33 ,,,,,
39,Barista,June,6-Jun,Monday,Open,5.9,354,10.50,72.97,134.92, $12.37 ,,,,,
40,Barista,June,5-Jun,Sunday,Open,6.45,387,10.50,94.53,162.26, $14.66 ,,,,,
41,Barista,June,3-Jun,Friday,Close,6.13,367.8,10.50,45.72,110.09, $7.46 ,,,,,
